불법투기 계도단속용 스마트경고판(CCTV) 현황,,,,,
,,,,,
연번,관할,설치위치,부연설명,비고,
54,정안면,정안면 대산리 27-14,고속도로 고가 아래 대산리 창고(정안마곡사로 33) 옆 공터(이설),,
55,정안면,정안면 대산리 458-15,대산2리 마을회관 건너편 노죽교 초입 부근(이설),,
56,정안면,정안면 운궁리 218-5,운궁리 버스승강장 부근,,
57,정안면,정안면 광정리 62-3,창말교 앞 통로박스 부근,,
58,정안면,정안면 광정리 73-6,정안세종로 고가 아래,,
59,우성면,우성면 신웅리 187-19,고가 아래,,
60,우성면,우성면 신웅리 53,마을정자(신웅리 145-7) 부근,,
61,우성면,우성면 상서리 531-3,우성길 171 맞은편 상서교 초입 클린하우스 부근,,
62,우성면,우성면 대성리 266-12 ,우성교 부근 고가아래 공터,,
63,우성면,우성면 도천리 77-3,뜸밭길 167 앞 교차로 내,,
64,우성면,우성면 단지리 338-2,단지리 공영주차장 내 클린하우스 부근,,
65,우성면,우성면 상서리 880,우성길 171 맞은편 상서교 초입 클린하우스 부근,,
66,우성면,우성면 귀산길 81,우성농협 맞은편 버스승강장 부근,,
67,우성면,우성면 용봉리 84,,,
68,사곡면,사곡면 화월리 700-5,화월교 초입 부근,,
69,사곡면,사곡면 운암리 731-2,마곡사 공영주차장 공중화장실 앞,,
70,사곡면,사곡면 해월리 21-7,해월2리 버스승강장 부근,,
71,사곡면,사곡면 운암리 731-2,마곡사 공영주차장 공중화장실 앞,,
72,사곡면,사곡면 운암리 375-4,운암삼거리 부근 창고(유구마곡사로 1187-1) 주차장 내,,
73,사곡면,사곡면 가교리 203-5,마곡사로 598-8 집입로 초입,,
74,신풍면,신풍면 동원리 206-4,신풍농협미곡종합처리장(충의로 2670) 맞은편 신풍면 선별장 내,,
75,신풍면,신풍면 산정리 247-11,산정2리 버스승강장 부근 교차로 내,,
76,신풍면,신풍면 동원리 204-3,신풍농협미곡종합처리장(충의로 2670) 맞은편 신풍면 선별장 내,,
77,신풍면,신풍면 산정리 82,신풍길 88-3 앞 공터,,
78,신풍면,신풍면 조평리 760-5,조평1리 마을회관(대룡조평길 396) 맞은편,,
79,신풍면,신풍면 동원리 206-2,신풍농협미곡종합처리장(충의로 2670) 맞은편 신풍면 선별장 내,,
80,중학동,봉황동 36-1,로뎀주간보호센터(대통1길 20) 부근,,
81,중학동,중학동 169-4,새마을슈퍼/강원연탄(중학새마을1길 2) 부근 공주고담벼락,,
82,중학동,중학동 200,공주고등학교 공영주차장 입구 버스승강장 부근,,
83,중학동,반죽동 150-2,웅진목욕탕(대통1길 73) 부근 공주북중학교 담벼락,,
84,중학동,봉황동 273-3,효심3길 공영주차장 부근,,
85,중학동,중동 147-13,특급뉴스(먹자2길 10) 앞,,
86,중학동,반죽동 110-5,반죽하봉1길 11-2 앞 골목길,,
87,웅진동,웅진동 734-2,,,
88,웅진동,산성동 31-5,고개마을길 21-1 앞 골목길,,
89,웅진동,교동 2 (웅진동),,,
90,웅진동,교동 211,향교1길 30 담벼락,,
91,웅진동,금성동 97-6,청송맨션 앞 공터 내,,
92,웅진동,교동 86-18,공주문화예술촌(봉황로 134) 옆 골목길,,
93,웅진동,웅진동 95-3,덕수빌리지(시어골1길 12) 입구,,
94,웅진동,산성동 161-2,덕성공원빌리지(남문길 13) 지하주차장 집입로 부근,,
95,웅진동,교동 2,웅진교 부근,,
96,웅진동,교동 120,공주시 재활용센터 앞,,
97,웅진동,산성동 195,산성교,,
98,웅진동,웅진동 64-1,웅진동주민자치센터(용당길 45) 맞은편,,
99,웅진동,금성동 20-25,산성시장 개미식당(산성시장5길 78-2) 부근,,
100,웅진동,웅진동 659-18,웅진어린이집(웅진절골1길 7) 진입로 초입,,
101,금학동,금학동 275-5,서울우유 앞 공영주차장 내,,
102,금학동,금학동 270-26,캠퍼스원룸(제민천2길 16-1) 맞은편 무안교 부근,,
103,금학동,주미동 산27-3,주미동노인회관 주차장 내 클린하우스 부근,,
104,금학동,봉정동 402-2,천안논산고속도로 본사 집입로 부근 통로박스,,
105,금학동,오곡동 849,점촌 버스승강장(오곡동 658-5) 부근,,
106,금학동,태봉동 327-3,태봉1동(모세골) 버스승강장 부근,,
107,금학동,오곡동 767-1,마을 진출입로,,
108,금학동,금학동 275-5,금학동 공영주차장(금학동 250-23) 부근,,
109,금학동,금학동 368,캠퍼스원룸(제민천2길 16-1) 부근,,
110,옥룡동,대추골1길 60-2,대추골1길 버스승강장 부근 담벼락,,
111,옥룡동,옥룡동 422-17,중앙연립(버드나무4길 17) 부근,,
112,옥룡동,신기동 368-1,효포초등학교 앞 육교/효포교 사이,,
113,옥룡동,옥룡동 244-4,대추골1길 17 앞 골목길,,
114,옥룡동,상왕동 847-11,하왕촌교 초입 교차로 상왕2통 버스승강장 부근,,
115,옥룡동,중골1길 21-2,다솜원룸 부근,,
116,옥룡동,소학동 151,학소교 아래 하천부지 내,,
117,옥룡동,옥룡동 105,우금티로 695-4 앞 교차로 내,,
118,옥룡동,신기동 306,계룡산묵사랑(전진배길 389) 아래 통로박스 부근,,
119,신관동,신관동 223-48,편의점(번영3로 52-1) 앞,,
120,신관동,신관동 246-1,청솔타운(공주대학로 94-31) 입구 부근,,
121,신관동,신관동 602-14,번영1공원 입구 부근,,
122,신관동,신관동 269-4,청운오피스텔(일신역길 13) 앞,,
123,신관동,흑수골길 38-6,흑수골길 38-6 부근 골목길,,
124,신관동,신금2길 38-6,신금2길 38-6 옆 골목길 초입,,
125,신관동,시목길 2,시목길 2 옆 골목길 초입,,
126,신관동,신관동 553,금강신관공원 주차장 내,,
127,신관동,월미동 277,마을운동기구(월미동 352) 부근 공동집하장,,
128,신관동,월미동길 63,월미1통 마을공동기계 보관창고 옆,,
129,신관동,신관동 606-15,공주시여성회관(번영2로 10-5) 주차장 입구 부근,,
130,신관동,신관동 517-21,신관동영농폐기물 집합장,,
131,월송동,송선동 458-12,공주세종패션아울렛(장기로 204-4) 옆 골목길(요동길) 초입,,
132,월송동,금흥동 542-28,금남공업사(중뫼1길 6) 부근,,
133,월송동,동현동 101-4,지랭이 마을입구 창고(지랭이길 6) 앞,,
134,월송동,월송동 426-3,월송동 마을회관(월송동현로 109) 버스승강장 건너편 공터,,
135,월송동,무릉동 448,느랏마을 버스승강장 부근 교차로,,
136,월송동,송선동 657,천년갈비 맞은편 버스승강장,,
137,월송동,금흥동 287-11,서우마트 앞 교차로,,
138,월송동,월송동 570,서울칼국수(월송동현로 48) 맞은편,,
139,월송동,상왕동 815-4,초려 이유태 유허지 진입로 초입,,
140,월송동,석장리동 23-6,장암휴게소(금벽로 1083) 부근,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
